cluster	member	super_RMSD	aligned_atoms	notes
YP_010356615.1	YP_010356615.1	0.0	3690	
YP_010356615.1	DBA35404.1	3.882	1528	
YP_010356615.1	DBA35454.1	5.383	1443	
YP_010356615.1	DBA35513.1	4.558	1583	
YP_010356615.1	NP_037664.1	3.127	1559	
YP_010356615.1	NP_038325.1	3.391	1382	
YP_010356615.1	NP_040583.1	5.256	1500	
YP_010356615.1	NP_040728.1	7.85	1268	
YP_010356615.1	NP_043484.1	2.38	1158	
YP_010356615.1	NP_044950.1	6.443	1391	
YP_010356615.1	NP_046607.1	5.861	1597	
YP_010356615.1	NP_046757.1	2.864	1172	
YP_010356615.1	NP_046829.1	6.027	1369	
YP_010356615.1	NP_046899.1	5.523	1474	
YP_010356615.1	NP_046965.1	3.117	1381	
YP_010356615.1	NP_047117.1	6.662	1360	
YP_010356615.1	NP_047925.1	3.659	1446	
YP_010356615.1	NP_049782.1	5.215	1611	
YP_010356615.1	NP_050633.1	4.462	1370	
YP_010356615.1	NP_052249.1	2.951	1345	
YP_010356615.1	NP_058443.1	4.159	1536	
YP_010356615.1	NP_061500.1	3.413	1442	
YP_010356615.1	NP_061630.1	2.45	817	
YP_010356615.1	NP_073693.1	6.795	1311	
YP_010356615.1	NP_490599.1	3.865	1216	
YP_010356615.1	NP_510984.1	5.259	1563	
YP_010356615.1	NP_680485.1	3.502	1697	
YP_010356615.1	NP_690644.1	8.022	1258	
YP_010356615.1	NP_695105.1	6.585	1411	
YP_010356615.1	NP_705643.1	5.642	1860	
YP_010356615.1	NP_758916.1	3.984	1308	
YP_010356615.1	NP_803386.1	4.176	1560	
YP_010356615.1	NP_813694.1	4.024	1419	
YP_010356615.1	NP_813772.1	7.551	1270	
YP_010356615.1	NP_817460.1	2.873	1598	
YP_010356615.1	NP_817681.1	2.719	1673	
YP_010356615.1	NP_817773.1	5.632	1702	
YP_010356615.1	NP_818162.1	9.092	1768	
YP_010356615.1	NP_839850.1	2.977	1262	
YP_010356615.1	NP_852021.1	6.736	1267	
YP_010356615.1	NP_858954.1	2.983	1471	
YP_010356615.1	NP_861682.1	7.136	1748	
YP_010356615.1	NP_861872.1	7.338	1648	
YP_010356615.1	NP_878199.1	2.966	1262	
YP_010356615.1	NP_891727.1	5.877	1707	
YP_010356615.1	NP_899604.1	6.506	1718	
YP_010356615.1	NP_918995.1	5.338	1375	
YP_010356615.1	NP_932511.1	10.299	2007	
YP_010356615.1	NP_938234.1	4.071	1354	
YP_010356615.1	NP_943786.1	5.993	1708	
YP_010356615.1	NP_944108.1	6.607	1617	
YP_010356615.1	NP_944326.1	5.936	1860	
YP_010356615.1	NP_944885.2	3.985	1470	
YP_010356615.1	NP_945033.1	3.711	1472	
YP_010356615.1	NP_955536.1	5.305	1476	
YP_010356615.1	NP_958056.1	2.731	1225	
YP_010356615.1	NP_958122.1	5.695	1861	
YP_010356615.1	NP_958604.1	6.114	1681	
YP_010356615.1	UVF62244.1	5.845	1525	
YP_010356615.1	UVF62578.1	2.961	1572	
YP_010356615.1	UYL64850.1	3.569	1418	
YP_010356615.1	WAE39495.1	3.618	1435	
YP_010356615.1	WAE39586.1	3.719	1402	
YP_010356615.1	WQJ51257.1	8.439	1809	
YP_010356615.1	WQJ52853.1	7.858	1661	
YP_010356615.1	WQJ53325.1	10.795	1462	
YP_010356615.1	WQJ54063.1	8.176	1722	
YP_010356615.1	XHA59957.1	3.191	1572	
YP_010356615.1	XHH73020.1	3.101	1654	
YP_010356615.1	YP_001004371.1	7.617	1487	
YP_010356615.1	YP_001039808.1	5.627	1649	
YP_010356615.1	YP_001039817.1	4.052	1421	
YP_010356615.1	YP_001111036.1	2.693	1147	
YP_010356615.1	YP_001111155.1	2.579	1136	
YP_010356615.1	YP_001165254.1	2.835	1155	
YP_010356615.1	YP_001285643.1	2.549	1109	
YP_010356615.1	YP_001285677.1	2.974	1469	
YP_010356615.1	YP_001294434.1	6.28	1793	
YP_010356615.1	YP_001294854.1	5.679	1868	
YP_010356615.1	YP_001429872.1	4.159	1536	
YP_010356615.1	YP_001449295.1	2.971	1482	
YP_010356615.1	YP_001456733.1	2.792	1553	
YP_010356615.1	YP_001467939.1	4.267	1461	
YP_010356615.1	YP_001468055.1	4.084	1470	
YP_010356615.1	YP_001468463.1	4.301	1522	
YP_010356615.1	YP_001468642.1	4.96	1544	
YP_010356615.1	YP_001469155.1	4.709	1406	
YP_010356615.1	YP_001469501.1	5.938	1709	
YP_010356615.1	YP_001504121.1	5.181	1657	
YP_010356615.1	YP_001552335.1	4.274	1425	
YP_010356615.1	YP_001595296.1	7.046	1781	
YP_010356615.1	YP_001595445.1	6.677	1712	
YP_010356615.1	YP_001686740.1	4.729	1323	
YP_010356615.1	YP_001742041.1	5.331	1663	
YP_010356615.1	YP_001828657.1	6.065	1385	
YP_010356615.1	YP_001837086.1	3.183	1613	
YP_010356615.1	YP_001950090.1	6.96	1653	
YP_010356615.1	YP_001994832.1	6.829	1473	
YP_010356615.1	YP_002003566.1	5.516	1555	
YP_010356615.1	YP_002003846.1	6.338	1940	
YP_010356615.1	YP_002003970.1	5.864	1384	
YP_010356615.1	YP_002003992.1	8.458	1446	
YP_010356615.1	YP_002004539.1	7.912	1302	
YP_010356615.1	YP_002014479.1	2.856	1594	
YP_010356615.1	YP_002048655.1	7.573	1253	
YP_010356615.1	YP_002117672.1	3.41	1564	
YP_010356615.1	YP_002128453.1	6.131	1701	
YP_010356615.1	YP_002154160.1	6.217	1790	
YP_010356615.1	YP_002154251.1	6.228	1732	
YP_010356615.1	YP_002225000.1	8.122	1791	
YP_010356615.1	YP_002241987.1	3.046	1668	
YP_010356615.1	YP_002274190.1	3.129	1495	
YP_010356615.1	YP_002274267.1	3.057	1491	
YP_010356615.1	YP_002300346.1	3.533	1538	
YP_010356615.1	YP_002332341.1	4.843	1407	
YP_010356615.1	YP_002332451.1	4.078	1328	
YP_010356615.1	YP_002364326.1	6.152	1763	
YP_010356615.1	YP_002418825.1	6.117	1764	
YP_010356615.1	YP_002455948.1	6.335	1812	
YP_010356615.1	YP_002456070.1	4.545	1480	
YP_010356615.1	YP_002790785.1	4.521	1562	
YP_010356615.1	YP_002854125.1	5.215	1611	
YP_010356615.1	YP_002854503.1	5.27	1562	
YP_010356615.1	YP_002875725.1	3.882	1387	
YP_010356615.1	YP_002922232.1	5.844	1710	
YP_010356615.1	YP_002922513.1	7.049	1777	
YP_010356615.1	YP_002922618.1	3.18	1441	
YP_010356615.1	YP_002922841.1	3.983	1469	
YP_010356615.1	YP_002939711.1	4.176	1560	
YP_010356615.1	YP_003097343.1	6.531	1862	
YP_010356615.1	YP_003127138.1	6.216	1340	
YP_010356615.1	YP_003127190.1	9.301	1471	
YP_010356615.1	YP_003127292.1	6.811	1360	
YP_010356615.1	YP_003169678.1	5.505	1603	
YP_010356615.1	YP_003347497.1	5.191	1440	
YP_010356615.1	YP_003358650.1	5.862	1690	
YP_010356615.1	YP_003358897.1	7.2	1723	
YP_010356615.1	YP_003580054.1	8.521	1770	
YP_010356615.1	YP_003714730.1	4.462	1271	
YP_010356615.1	YP_003734309.1	7.054	1781	
YP_010356615.1	YP_003858509.1	6.607	1795	
YP_010356615.1	YP_003893.1	5.63	1646	
YP_010356615.1	YP_003934806.1	9.25	1803	
YP_010356615.1	YP_003969129.1	6.218	1726	
YP_010356615.1	YP_003969303.1	7.478	1692	
YP_010356615.1	YP_004009796.1	7.72	1548	
YP_010356615.1	YP_004010030.1	6.393	1560	
YP_010356615.1	YP_004010317.1	5.679	1707	
YP_010356615.1	YP_004063865.1	7.594	1816	
YP_010356615.1	YP_004251069.1	8.089	1767	
YP_010356615.1	YP_004300754.1	6.103	1728	
YP_010356615.1	YP_004300925.1	5.96	1662	
YP_010356615.1	YP_004301416.1	3.393	975	
YP_010356615.1	YP_004306306.1	7.292	1524	
YP_010356615.1	YP_004306344.1	7.078	1242	
YP_010356615.1	YP_004306410.1	2.94	1147	
YP_010356615.1	YP_004306454.1	2.719	1148	
YP_010356615.1	YP_004306622.1	3.106	1598	
YP_010356615.1	YP_004306880.1	3.565	1216	
YP_010356615.1	YP_004322270.1	5.554	1650	
YP_010356615.1	YP_004322541.1	6.212	1788	
YP_010356615.1	YP_004322786.1	5.62	1799	
YP_010356615.1	YP_004323020.1	5.713	1816	
YP_010356615.1	YP_004323487.1	6.09	1777	
YP_010356615.1	YP_004323950.1	6.23	1885	
YP_010356615.1	YP_004324197.1	6.593	1872	
YP_010356615.1	YP_004324491.1	5.904	1820	
YP_010356615.1	YP_004324725.1	5.398	1758	
YP_010356615.1	YP_004324951.1	6.108	1906	
YP_010356615.1	YP_004327195.1	5.735	1566	
YP_010356615.1	YP_004327528.1	6.548	1729	
YP_010356615.1	YP_004414847.1	5.627	1681	
YP_010356615.1	YP_004415062.1	5.284	1619	
YP_010356615.1	YP_004421631.1	5.444	1648	
YP_010356615.1	YP_004421835.1	6.842	1556	
YP_010356615.1	YP_004849306.1	5.966	1550	
YP_010356615.1	YP_004893881.1	5.726	1537	
YP_010356615.1	YP_004895318.1	6.527	1730	
YP_010356615.1	YP_004934173.1	6.372	1374	
YP_010356615.1	YP_004934704.1	4.135	1335	
YP_010356615.1	YP_004956890.1	5.504	1656	
YP_010356615.1	YP_004957027.1	4.716	1570	
YP_010356615.1	YP_004957852.1	6.189	1644	
YP_010356615.1	YP_005098207.1	3.407	1438	
YP_010356615.1	YP_006200783.1	6.231	1781	
YP_010356615.1	YP_006201087.1	6.318	1343	
YP_010356615.1	YP_006201536.1	6.561	1332	
YP_010356615.1	YP_006201595.1	6.431	1390	
YP_010356615.1	YP_006201707.1	6.431	1390	
YP_010356615.1	YP_006201937.1	6.431	1390	
YP_010356615.1	YP_006382452.1	3.019	1595	
YP_010356615.1	YP_006382932.1	5.24	1405	
YP_010356615.1	YP_006383017.1	6.566	1674	
YP_010356615.1	YP_006383612.1	5.748	1600	
YP_010356615.1	YP_006383767.1	6.181	1699	
YP_010356615.1	YP_006480.1	7.985	1875	
YP_010356615.1	YP_006489257.1	6.644	1694	
YP_010356615.1	YP_006560346.1	3.077	1206	
YP_010356615.1	YP_006560405.1	3.077	1223	
YP_010356615.1	YP_006560469.1	12.775	1546	
YP_010356615.1	YP_006560526.1	4.941	1414	
YP_010356615.1	YP_006561149.1	5.955	1496	
YP_010356615.1	YP_006906016.1	5.919	1498	
YP_010356615.1	YP_006906186.1	4.64	1266	
YP_010356615.1	YP_006906396.1	3.665	1642	
YP_010356615.1	YP_006907179.1	4.27	1464	
YP_010356615.1	YP_006907304.1	4.059	1405	
YP_010356615.1	YP_006907823.1	4.74	1550	
YP_010356615.1	YP_006908060.1	4.194	1429	
YP_010356615.1	YP_006908141.1	5.534	1654	
YP_010356615.1	YP_006908499.1	3.643	1476	
YP_010356615.1	YP_006980.1	3.097	1595	
YP_010356615.1	YP_006986484.1	5.942	1651	
YP_010356615.1	YP_006986721.1	5.215	1611	
YP_010356615.1	YP_006987033.1	6.294	1593	
YP_010356615.1	YP_006987350.1	7.552	1905	
YP_010356615.1	YP_006987835.1	6.145	1590	
YP_010356615.1	YP_006990121.1	5.316	1336	
YP_010356615.1	YP_006990307.1	4.997	1407	
YP_010356615.1	YP_006990468.1	3.641	1296	
YP_010356615.1	YP_006990557.1	4.078	1460	
YP_010356615.1	YP_007001618.1	5.55	1795	
YP_010356615.1	YP_007001830.1	5.994	1833	
YP_010356615.1	YP_007002212.1	4.653	1618	
YP_010356615.1	YP_007002343.1	2.828	1401	
YP_010356615.1	YP_007002480.1	5.568	1553	
YP_010356615.1	YP_007002565.1	6.228	1732	
YP_010356615.1	YP_007002792.1	6.181	1642	
YP_010356615.1	YP_007003204.1	3.55	1588	
YP_010356615.1	YP_007003508.1	2.816	1147	
YP_010356615.1	YP_007004276.1	10.058	1656	
YP_010356615.1	YP_007004546.1	5.284	1619	
YP_010356615.1	YP_007004714.1	6.936	1716	
YP_010356615.1	YP_007004910.1	5.215	1611	
YP_010356615.1	YP_007005397.1	6.094	1649	
YP_010356615.1	YP_007006234.1	6.976	1688	
YP_010356615.1	YP_007007012.1	5.587	1492	
YP_010356615.1	YP_007007244.1	6.573	1843	
YP_010356615.1	YP_007007739.1	6.659	1686	
YP_010356615.1	YP_007007964.1	2.735	1541	
YP_010356615.1	YP_007008105.1	6.527	1730	
YP_010356615.1	YP_007010339.1	6.175	1668	
YP_010356615.1	YP_007010833.1	6.238	1728	
YP_010356615.1	YP_007111507.1	4.699	1428	
YP_010356615.1	YP_007111579.1	3.81	1589	
YP_010356615.1	YP_007111778.1	5.256	1500	
YP_010356615.1	YP_007111877.1	8.043	1481	
YP_010356615.1	YP_007112219.1	5.371	1605	
YP_010356615.1	YP_007112347.1	4.699	1428	
YP_010356615.1	YP_007112480.1	3.584	1312	
YP_010356615.1	YP_007112542.1	5.256	1500	
YP_010356615.1	YP_007112779.1	4.348	1601	
YP_010356615.1	YP_007236004.1	7.142	1822	
YP_010356615.1	YP_007236111.1	5.929	1684	
YP_010356615.1	YP_007236458.1	5.568	1553	
YP_010356615.1	YP_007236689.1	6.225	1368	
YP_010356615.1	YP_007236869.1	5.712	1564	
YP_010356615.1	YP_007237120.1	3.499	1626	
YP_010356615.1	YP_007237465.1	5.736	1651	
YP_010356615.1	YP_007237933.1	6.195	1703	
YP_010356615.1	YP_007238038.1	2.854	1146	
YP_010356615.1	YP_007238076.1	3.326	1519	
YP_010356615.1	YP_007238172.1	6.16	1728	
YP_010356615.1	YP_007348516.1	6.438	1696	
