cluster	member	super_RMSD	aligned_atoms	notes
YP_009190560.1	YP_009190560.1	0.0	4590	
YP_009190560.1	DBA35453.1	6.08	1721	
YP_009190560.1	DBA59595.1	5.266	1888	
YP_009190560.1	NP_037663.1	7.397	1987	
YP_009190560.1	NP_037698.1	7.362	1985	
YP_009190560.1	NP_039677.1	5.42	2087	
YP_009190560.1	NP_040581.1	13.26	2089	
YP_009190560.1	NP_042313.1	8.619	2170	
YP_009190560.1	NP_043560.1	8.505	2187	
YP_009190560.1	NP_044948.1	11.333	2127	
YP_009190560.1	NP_046828.1	6.233	2117	
YP_009190560.1	NP_046897.1	13.397	2033	
YP_009190560.1	NP_046964.1	12.933	2104	
YP_009190560.1	NP_047115.1	11.099	2119	
YP_009190560.1	NP_047924.1	6.824	2004	
YP_009190560.1	NP_049511.1	1.314	4140	
YP_009190560.1	NP_049776.1	3.798	2289	
YP_009190560.1	NP_049777.1	4.594	2358	
YP_009190560.1	NP_049778.1	4.035	2316	
YP_009190560.1	NP_049779.1	3.821	1718	
YP_009190560.1	NP_050979.1	6.538	1904	
YP_009190560.1	NP_058441.1	6.225	2226	
YP_009190560.1	NP_061498.1	11.487	2196	
YP_009190560.1	NP_061628.1	6.225	2225	
YP_009190560.1	NP_075277.1	6.003	2148	
YP_009190560.1	NP_075501.1	4.862	2057	
YP_009190560.1	NP_112076.1	4.531	1770	
YP_009190560.1	NP_203458.1	6.355	1771	
YP_009190560.1	NP_510983.1	6.836	2083	
YP_009190560.1	NP_536358.1	10.638	2199	
YP_009190560.1	NP_569740.1	9.949	1888	
YP_009190560.1	NP_758915.1	13.333	2219	
YP_009190560.1	NP_803283.1	6.538	2022	
YP_009190560.1	NP_803336.1	5.534	1784	
YP_009190560.1	NP_803384.1	6.225	2225	
YP_009190560.1	NP_813693.1	6.25	1950	
YP_009190560.1	NP_813786.1	5.391	1819	
YP_009190560.1	NP_817340.1	7.632	2131	
YP_009190560.1	NP_817601.1	5.821	1974	
YP_009190560.1	NP_817679.1	11.139	2146	
YP_009190560.1	NP_817883.1	5.551	1827	
YP_009190560.1	NP_817976.1	8.167	2045	
YP_009190560.1	NP_818289.1	5.299	1991	
YP_009190560.1	NP_848210.1	5.345	1717	
YP_009190560.1	NP_853601.1	6.46	2086	
YP_009190560.1	NP_858953.1	6.296	1986	
YP_009190560.1	NP_859246.1	1.314	4140	
YP_009190560.1	NP_861683.1	5.049	2080	
YP_009190560.1	NP_861869.1	4.745	2330	
YP_009190560.1	NP_877482.1	7.694	2013	
YP_009190560.1	NP_891724.1	3.622	2338	
YP_009190560.1	NP_899601.1	2.998	2320	
YP_009190560.1	NP_918997.2	15.373	2257	
YP_009190560.1	NP_932508.1	3.684	2215	
YP_009190560.1	NP_944105.1	3.417	2366	
YP_009190560.1	NP_944278.1	4.994	2736	
YP_009190560.1	NP_944884.1	7.636	1944	
YP_009190560.1	NP_945032.1	10.6	2225	
YP_009190560.1	NP_958178.1	4.33	1799	
YP_009190560.1	NP_958275.1	4.716	1965	
YP_009190560.1	NP_958603.1	7.658	2119	
YP_009190560.1	WQJ51409.1	5.055	2307	
YP_009190560.1	WQJ53615.1	5.095	1852	
YP_009190560.1	WQJ53860.1	2.568	905	
YP_009190560.1	XCD08683.1	14.505	2164	
YP_009190560.1	XHH73024.1	9.968	2295	
YP_009190560.1	YP_001004302.1	6.75	1902	
YP_009190560.1	YP_001039677.1	7.106	2156	
YP_009190560.1	YP_001039811.1	4.042	1809	
YP_009190560.1	YP_001039815.1	14.199	2285	
YP_009190560.1	YP_001110720.1	6.245	1805	
YP_009190560.1	YP_001110830.1	5.504	1875	
YP_009190560.1	YP_001111081.1	11.102	2186	
YP_009190560.1	YP_001285355.1	6.569	1986	
YP_009190560.1	YP_001285469.1	6.239	2076	
YP_009190560.1	YP_001285578.1	7.729	1881	
YP_009190560.1	YP_001285676.1	6.66	2042	
YP_009190560.1	YP_001294421.1	4.396	1844	
YP_009190560.1	YP_001294797.1	8.438	1988	
YP_009190560.1	YP_001429870.1	6.266	2231	
YP_009190560.1	YP_001429940.1	4.75	2045	
YP_009190560.1	YP_001449292.1	6.938	2116	
YP_009190560.1	YP_001456732.1	7.782	2031	
YP_009190560.1	YP_001467938.1	4.211	2069	
YP_009190560.1	YP_001468454.1	6.557	1770	
YP_009190560.1	YP_001468641.1	7.981	2098	
YP_009190560.1	YP_001468929.1	7.856	1888	
YP_009190560.1	YP_001469154.1	14.185	2309	
YP_009190560.1	YP_001469235.1	7.743	2152	
YP_009190560.1	YP_001469498.1	3.602	2330	
YP_009190560.1	YP_001491581.1	4.433	1877	
YP_009190560.1	YP_001491662.1	4.705	1516	
YP_009190560.1	YP_001504114.1	7.295	1684	
YP_009190560.1	YP_001522835.1	7.007	2046	
YP_009190560.1	YP_001522892.1	6.622	1966	
YP_009190560.1	YP_001552334.1	8.632	2089	
YP_009190560.1	YP_001595293.1	5.144	2401	
YP_009190560.1	YP_001648943.1	1.487	3946	
YP_009190560.1	YP_001671988.1	7.654	2026	
YP_009190560.1	YP_001686738.1	15.076	2250	
YP_009190560.1	YP_001742039.1	7.1	2050	
YP_009190560.1	YP_001828656.1	6.869	2104	
