cluster	member	super_RMSD	aligned_atoms	notes
UVF62291.1	UVF62291.1	0.0	3555	
UVF62291.1	DBA35453.1	4.22	1645	
UVF62291.1	DBA59595.1	3.659	1810	
UVF62291.1	NP_037698.1	4.24	2060	
UVF62291.1	NP_038323.1	4.167	2000	
UVF62291.1	NP_039677.1	5.411	1971	
UVF62291.1	NP_040734.1	10.517	1263	
UVF62291.1	NP_042010.1	5.943	2061	
UVF62291.1	NP_042313.1	7.186	2103	
UVF62291.1	NP_043485.1	3.218	1891	
UVF62291.1	NP_043560.1	7.038	2114	
UVF62291.1	NP_044835.1	5.444	844	
UVF62291.1	NP_044948.1	8.569	2137	
UVF62291.1	NP_046608.1	5.365	1972	
UVF62291.1	NP_046758.1	5.648	2023	
UVF62291.1	NP_046828.1	5.607	1947	
UVF62291.1	NP_046964.1	9.426	2039	
UVF62291.1	NP_047115.1	8.462	2148	
UVF62291.1	NP_047924.1	5.068	2036	
UVF62291.1	NP_049392.1	3.453	987	
UVF62291.1	NP_049511.1	6.036	1960	
UVF62291.1	NP_049776.1	3.355	1935	
UVF62291.1	NP_049777.1	3.806	1972	
UVF62291.1	NP_049778.1	3.488	1952	
UVF62291.1	NP_049779.1	3.33	1627	
UVF62291.1	NP_049926.1	4.39	1957	
UVF62291.1	NP_049967.1	4.489	2013	
UVF62291.1	NP_050632.1	4.574	1979	
UVF62291.1	NP_050979.1	4.065	1746	
UVF62291.1	NP_052122.1	5.322	1989	
UVF62291.1	NP_052251.1	4.758	1961	
UVF62291.1	NP_056675.1	4.224	1911	
UVF62291.1	NP_058441.1	4.183	2023	
UVF62291.1	NP_061498.1	10.272	2097	
UVF62291.1	NP_061628.1	4.148	2019	
UVF62291.1	NP_064638.1	9.583	1458	
UVF62291.1	NP_073699.1	5.93	874	
UVF62291.1	NP_075277.1	5.743	2119	
UVF62291.1	NP_075501.1	5.274	2054	
UVF62291.1	NP_112076.1	6.374	1911	
UVF62291.1	NP_150161.1	4.618	1996	
UVF62291.1	NP_203458.1	4.457	1890	
UVF62291.1	NP_490600.1	8.108	1990	
UVF62291.1	NP_510934.1	4.078	1940	
